동별(1),동별(2),2020 1/4,2020 1/2,2020 3/4,2021    ,2021 1/4,2021 1/2,2021 3/4,2022    ,2022 1/4,2022 1/2,2022 3/4,2023    ,2023 1/4,2023 1/2,2023 3/4,2024    ,2024 1/4,2024 1/2,2024 3/4,2025    ,2025 1/4,2025 1/2
동별(1),동별(2),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명)
합계,소계,10013781,9985652,9953009,9911088,9828094,9795426,9765869,9736027,9732617,9725417,9682126,9667669,9668008,9659322,9655918,9638799,9635445,9619861,9605419,9597372,9602826,9595509
합계,종로구,161984,160520,159842,158996,156567,155106,154318,153789,153684,153255,151999,152211,152212,151349,151127,150453,150550,150204,150011,149608,149478,149332
합계,중구,136469,136030,135321,134635,133708,132259,131943,131787,131450,131673,130764,130785,131390,132054,131825,131793,131812,131800,131589,131214,130418,129616
합계,용산구,246165,245362,244953,244645,243336,240665,238300,237285,236518,236632,233734,233284,232482,232069,230692,227106,223433,219451,218370,217194,216537,216214
합계,성동구,307193,304851,302695,300505,298421,295767,294140,292672,291609,290664,288941,288234,287240,286564,285543,284766,284258,283853,282385,281289,281062,280683
합계,광진구,365990,363925,361923,360109,356191,355306,353380,352627,353110,352796,351073,351252,350925,350820,351959,351180,350925,350005,349307,348652,348660,350164
합계,동대문구,362793,360380,358679,357014,352570,352259,351626,352006,352592,352743,353181,353601,354884,355667,359113,359873,360211,360066,359219,358603,361950,361871
합계,중랑구,400678,399415,400989,399562,396807,394679,393149,391885,393600,393147,391110,390140,389928,389316,387940,387470,387433,386782,386131,385349,384320,383958
합계,성북구,454532,452290,449871,447056,444295,443206,441717,440142,442680,443823,442596,441984,441855,441065,440089,438168,436901,436666,435492,435037,433569,437692
합계,강북구,316750,315395,313550,311569,307537,306093,304257,302563,300824,300246,298622,297702,296934,295773,294804,292977,291372,290252,289678,289374,288797,287523
합계,도봉구,333495,331744,329300,327361,323752,322419,320711,319373,318100,316916,314884,313989,312858,311386,310133,309494,308864,308060,306926,306032,305391,304555
합계,노원구,535495,533041,529532,527032,522225,520005,517038,514946,514445,512162,509686,508014,506989,504641,504423,502925,501727,500045,498358,496552,495111,492612
합계,은평구,482509,483938,485842,484043,479607,479409,477961,477173,476013,477460,474124,470602,468766,467295,471155,470869,470185,468976,466809,465350,464466,463165
합계,서대문구,325875,324224,323860,322952,318814,317699,316415,315659,317075,317515,317159,319554,321966,321726,321379,320629,320378,320010,319749,318622,318085,316827
합계,마포구,386086,384957,383494,381858,378216,379984,379525,378686,378629,378290,376062,375585,376542,376285,375639,375162,374962,373980,373874,372745,371852,370897
합계,양천구,460532,462034,460048,457781,456019,454288,452255,450487,449378,447738,445270,444010,442345,441517,440591,439252,437774,436595,435867,434351,432901,431500
합계,강서구,595703,593203,589536,585901,582804,582995,581265,579768,578426,578465,575813,574638,573711,572382,569978,568826,567159,565133,563515,562194,560094,558229
합계,구로구,438308,436707,435751,432488,426675,424582,422361,421163,419984,418709,416570,418418,417983,417774,416815,415651,414271,413099,412441,411916,410727,410488
합계,금천구,251370,250554,249641,247835,244564,244685,244887,244891,244901,245231,243872,242818,242467,242567,242076,241105,240680,240153,239577,239070,238431,238305
합계,영등포구,404766,405154,405982,407367,403070,402375,401814,400908,400241,399722,398938,398085,398999,398842,398290,397800,397942,397771,397514,397173,396834,396841
합계,동작구,407802,406776,404617,401572,398205,397231,396122,394364,394649,395030,392628,390432,390377,390843,390740,389714,389576,389541,387792,387352,386897,386593
합계,관악구,516662,516318,514555,509803,504140,502698,501572,499449,500336,500841,500750,501226,502628,502430,500582,497883,497827,497632,496469,495620,497213,498000
합계,서초구,434801,433062,429995,429025,425103,422174,420045,416167,413677,411515,409025,408451,408979,408753,410766,412078,412275,411959,412611,413076,412715,412204
합계,강남구,549898,546158,544085,544055,539538,536107,538075,537800,537338,536710,534988,534103,537817,542327,546291,550282,559720,562136,564280,563215,563189,562526
합계,송파구,680883,678067,676673,673926,667115,664341,664996,663965,668261,668638,665847,664514,663704,662872,661515,660025,659661,658768,657991,656310,654127,652908
합계,강동구,457042,461547,462275,463998,468815,469094,467997,466472,465097,465496,464490,464037,464027,463005,462453,463318,465549,466924,469464,481474,500002,502806
